subject,supergame,period,action,opponentAction
T1S1S01,1,1,C,D
T1S1S01,1,2,D,D
T1S1S01,1,3,C,D
T1S1S01,1,4,D,D
T1S1S01,1,5,C,D
T1S1S01,1,6,C,D
T1S1S01,1,7,C,D
T1S1S01,1,8,D,D
T1S1S01,1,9,C,D
T1S1S01,1,10,D,D
T1S1S01,1,11,C,D
T1S1S01,1,12,C,D
T1S1S01,1,13,C,D
T1S1S01,1,14,C,D
T1S1S01,1,15,C,D
T1S1S01,1,16,C,D
T1S1S01,1,17,D,D
T1S1S01,1,18,C,D
T1S1S01,1,19,D,D
T1S1S01,1,20,D,D
T1S1S01,1,21,D,D
T1S1S01,1,22,D,D
T1S1S01,1,23,D,D
T1S1S01,2,1,D,D
T1S1S01,2,2,D,D
T1S1S01,2,3,D,D
T1S1S01,2,4,C,D
T1S1S01,2,5,D,D
T1S1S01,2,6,D,D
T1S1S01,2,7,D,D
T1S1S01,2,8,D,D
T1S1S01,2,9,D,C
T1S1S01,2,10,D,D
T1S1S01,2,11,D,D
T1S1S01,2,12,D,D
T1S1S01,2,13,D,D
T1S1S01,2,14,D,D
T1S1S01,2,15,C,D
T1S1S01,2,16,D,D
T1S1S01,2,17,D,D
T1S1S01,2,18,C,D
T1S1S01,2,19,D,D
T1S1S01,2,20,D,D
T1S1S01,2,21,D,D
T1S1S01,2,22,D,D
T1S1S01,2,23,D,D
T1S1S01,2,24,D,D
T1S1S01,2,25,D,D
T1S1S01,2,26,D,D
T1S1S01,2,27,C,D
T1S1S01,2,28,D,D
T1S1S01,2,29,D,D
T1S1S01,2,30,D,D
T1S1S01,2,31,D,D
T1S1S01,3,1,C,C
T1S1S01,3,2,C,C
T1S1S01,3,3,C,C
T1S1S01,3,4,C,C
T1S1S01,3,5,C,C
T1S1S01,3,6,C,C
T1S1S01,3,7,C,C
T1S1S01,3,8,C,C
T1S1S01,3,9,C,C
T1S1S01,3,10,C,C
T1S1S01,3,11,C,C
T1S1S01,3,12,C,C
T1S1S01,3,13,C,C
T1S1S01,3,14,C,C
T1S1S01,3,15,C,C
T1S1S01,3,16,C,C
T1S1S01,3,17,C,C
T1S1S01,3,18,C,C
T1S1S01,3,19,C,C
T1S1S01,3,20,C,C
T1S1S01,4,1,D,C
T1S1S01,4,2,D,C
T1S1S01,4,3,D,D
T1S1S01,4,4,D,D
T1S1S01,4,5,D,D
T1S1S01,4,6,D,D
T1S1S01,4,7,C,D
T1S1S01,4,8,D,D
T1S1S01,4,9,C,D
T1S1S01,4,10,D,D
T1S1S01,4,11,D,D
T1S1S01,4,12,D,D
T1S1S01,4,13,D,D
T1S1S01,4,14,D,D
T1S1S01,4,15,D,D
T1S1S01,4,16,D,D
T1S1S01,4,17,D,D
T1S1S01,4,18,D,D
T1S1S01,4,19,D,D
T1S1S01,4,20,D,D
T1S1S01,4,21,D,D
T1S1S01,4,22,D,C
T1S1S01,4,23,C,D
T1S1S01,4,24,D,D
T1S1S01,4,25,C,D
T1S1S01,4,26,D,D
T1S1S01,5,1,C,D
T1S1S01,5,2,D,D
T1S1S01,5,3,D,D
T1S1S01,5,4,D,D
T1S1S01,5,5,D,D
T1S1S01,5,6,D,D
T1S1S01,5,7,D,D
T1S1S01,5,8,D,D
T1S1S01,5,9,D,D
T1S1S01,5,10,D,D
T1S1S01,6,1,C,C
T1S1S01,7,1,C,C
T1S1S01,7,2,C,C
T1S1S01,7,3,C,C
T1S1S01,7,4,C,C
T1S1S01,7,5,C,C
T1S1S01,7,6,C,C
T1S1S01,7,7,C,C
T1S1S01,7,8,C,C
T1S1S01,7,9,C,C
T1S1S01,7,10,C,C
T1S1S01,7,11,C,C
T1S1S01,7,12,C,C
T1S1S01,7,13,C,C
T1S1S01,7,14,C,C
T1S1S01,8,1,C,C
T1S1S01,8,2,C,C
T1S1S01,8,3,C,C
T1S1S01,8,4,C,C
T1S1S01,8,5,C,C
T1S1S01,9,1,C,D
T1S1S01,9,2,C,D
T1S1S01,9,3,D,D
T1S1S01,9,4,D,D
T1S1S01,9,5,D,D
T1S1S01,9,6,D,C
T1S1S01,9,7,D,C
T1S1S01,9,8,C,D
T1S1S01,9,9,D,D
T1S1S01,9,10,C,D
T1S1S01,9,11,D,D
T1S1S01,9,12,D,C
T1S1S01,9,13,D,C
T1S1S01,9,14,C,C
T1S1S01,9,15,C,D
T1S1S01,9,16,D,C
T1S1S01,9,17,C,D
T1S1S01,9,18,D,C
T1S1S01,9,19,C,D
T1S1S01,9,20,D,C
T1S1S01,9,21,C,D
T1S1S01,9,22,D,C
T1S1S01,9,23,C,D
T1S1S01,9,24,D,C
T1S1S01,9,25,C,D
T1S1S01,9,26,D,C
T1S1S01,9,27,C,D
T1S1S01,9,28,D,C
T1S1S01,9,29,C,D
T1S1S01,9,30,D,C
T1S1S01,9,31,C,D
T1S1S01,9,32,D,C
T1S1S01,9,33,C,C
T1S1S01,9,34,D,D
T1S1S01,9,35,C,C
T1S1S01,9,36,C,D
T1S1S01,9,37,D,C
T1S1S01,9,38,C,D
T1S1S01,9,39,D,C
T1S1S01,9,40,C,D
T1S1S01,9,41,D,C
T1S1S01,9,42,C,D
T1S1S01,9,43,D,C
T1S1S01,9,44,C,D
T1S1S01,9,45,D,C
T1S1S01,9,46,C,D
T1S1S01,9,47,D,C
T1S1S01,9,48,C,C
T1S1S01,9,49,D,D
T1S1S01,9,50,C,C
T1S1S01,9,51,C,D
T1S1S01,9,52,D,C
T1S1S01,9,53,C,D
T1S1S01,9,54,D,C
T1S1S01,9,55,C,D
T1S1S01,9,56,D,C
T1S1S01,9,57,C,D
T1S1S01,9,58,D,C
T1S1S01,9,59,C,D
T1S1S01,9,60,D,C
T1S1S01,9,61,C,C
T1S1S01,9,62,D,D
T1S1S01,9,63,C,C
T1S1S01,9,64,D,D
T1S1S01,9,65,C,D
T1S1S01,9,66,C,D
T1S1S01,9,67,D,D
T1S1S01,9,68,C,C
T1S1S01,9,69,C,D
T1S1S01,9,70,D,C
T1S1S01,9,71,C,D
T1S1S01,9,72,D,C
T1S1S01,9,73,C,D
T1S1S01,9,74,D,D
T1S1S01,9,75,C,C
T1S1S01,9,76,C,D
T1S1S01,9,77,D,D
T1S1S01,9,78,C,D
T1S1S01,9,79,D,D
T1S1S01,9,80,C,C
T1S1S01,9,81,D,D
T1S1S01,9,82,C,C
T1S1S01,9,83,C,D
T1S1S01,9,84,D,C
T1S1S01,10,1,C,C
T1S1S01,10,2,C,C
T1S1S01,10,3,C,C
T1S1S01,10,4,C,C
T1S1S01,11,1,C,C
T1S1S01,11,2,C,C
T1S1S01,11,3,C,C
T1S1S01,11,4,C,C
T1S1S01,11,5,C,C
T1S1S01,11,6,C,C
T1S1S01,11,7,C,D
T1S1S01,11,8,C,D
T1S1S01,11,9,D,D
T1S1S01,11,10,D,D
T1S1S01,11,11,D,D
T1S1S01,11,12,D,D
T1S1S01,11,13,D,D
T1S1S01,11,14,D,D
T1S1S01,11,15,D,D
